,CI,IP,CRP,STS,CP,HS,LOAN,DL,NONS,NAPM,UR,MOM
2002-02-01,0.4055471316084692,1.9172081840101995e-05,1.38,3.15,176.5311,1829.0,25.0,-0.08999999999999986,50422.0,317481.0,0.0,-2.6169931703342826
2002-03-01,-0.02309284116333625,0.0077825882490922815,1.2999999999999998,3.45,201.2279,1642.0,25.0,-0.08999999999999986,47371.0,315160.0,0.0,3.68912546258224
2002-04-01,-1.0174,0.0048219385334324905,1.2699999999999996,3.46,204.2329,1592.0,21.4,0.010000000000000231,49964.0,319110.0,0.20000000000000018,-2.8026012073863598
2002-05-01,0.9820882712612861,0.004116120022317871,1.3399999999999999,3.4,194.2879,1764.0,21.4,0.010000000000000231,50680.0,321471.0,-0.10000000000000053,-2.125658902254969
2002-06-01,0.9820882712612861,0.008261712966197932,1.3200000000000003,3.2,202.7765,1717.0,21.4,0.010000000000000231,48847.0,316320.0,0.0,-4.309773566506138
2002-07-01,1.9801685174906807,-0.00034870495161032355,1.37,2.94,203.4048,1655.0,20.0,-0.03000000000000025,49531.0,320937.0,0.0,-7.604507411609994
2002-08-01,-0.01725745856353772,-0.0010024637941108416,1.21,2.61,215.2304,1633.0,20.0,-0.03000000000000025,51112.0,326896.0,-0.09999999999999964,0.7844937064430937
2002-09-01,-0.01725745856353772,0.0011907253400893492,1.25,2.21,227.5257,1804.0,20.0,-0.03000000000000025,48089.0,319466.0,0.0,-2.9932320681485223
2002-10-01,-1.0141,-0.0029067112905160064,1.4100000000000001,2.33,217.423,1648.0,22.0,-0.10999999999999988,49106.0,320658.0,0.0,-0.6976598988408611
2002-11-01,-1.3724648109761912,0.005601965818850196,1.3100000000000005,2.8,217.5085,1753.0,22.0,-0.10999999999999988,49620.0,322463.0,0.20000000000000018,3.819767404639201
2002-12-01,-1.3724648109761912,-0.005477492028449604,1.2400000000000002,2.82,235.1541,1788.0,22.0,-0.10999999999999988,48744.0,316933.0,0.09999999999999964,-0.6454469862438401
2003-01-01,-1.3724648109761912,0.008250457316736792,1.1799999999999997,2.86,253.4514,1853.0,8.9,-0.20000000000000018,48896.0,323882.0,-0.20000000000000018,-0.14372653052920015
2003-02-01,-1.3724648109761912,0.001190564774164793,1.1099999999999994,2.71,278.572,1629.0,8.9,-0.20000000000000018,49128.0,330320.0,0.10000000000000053,-3.855656454138888
2003-03-01,-1.3724648109761912,-0.0029838022165387112,1.0600000000000005,2.66,232.2788,1726.0,8.9,-0.20000000000000018,51757.0,330437.0,0.0,0.6387900063268503
2003-04-01,-0.2591677910771735,-0.006316527992457854,1.1099999999999994,2.81,215.6376,1643.0,3.4,-0.11999999999999966,49199.0,321380.0,0.09999999999999964,3.064378284272692
2003-05-01,-0.009788731627647443,-0.0003144140645685578,1.1600000000000001,2.48,235.2415,1751.0,3.4,-0.11999999999999966,50849.0,324549.0,0.09999999999999964,3.2706732977004265
2003-06-01,-0.009788731627647443,0.0013341970484339605,1.2200000000000006,2.39,233.2028,1867.0,3.4,-0.11999999999999966,49941.0,328625.0,0.20000000000000018,3.7061333429245735
2003-07-01,2.4868935834692008,0.005131302266325077,1.13,3.06,233.1563,1897.0,0.0,-0.010000000000000231,49408.0,329530.0,-0.09999999999999964,0.42279847050126307
2003-08-01,-1.3415534197264218,-0.002093137491392838,1.13,3.48,242.459,1833.0,0.0,-0.010000000000000231,50447.0,330322.0,-0.10000000000000053,-0.13946891553474927
2003-09-01,-1.3415534197264218,0.006851851241431062,1.0700000000000003,3.31,232.6344,1939.0,0.0,-0.010000000000000231,51971.0,336048.0,0.0,2.1963272094726562
2003-10-01,-0.608215989159879,0.0011098318882967195,1.0300000000000002,3.35,238.4895,1967.0,-17.9,-0.25,51088.0,342054.0,-0.09999999999999964,1.4763152633888126
2003-11-01,-0.608215989159879,0.006685401342094499,1.0099999999999998,3.35,245.8032,2083.0,-17.9,-0.25,52318.0,339229.0,-0.20000000000000018,0.8258699290539653
2003-12-01,0.1840553168636448,0.0005565752215743736,0.9799999999999995,3.36,260.5434,2057.0,-17.9,-0.25,53325.0,340507.0,-0.09999999999999964,2.3055620877936747
2004-01-01,0.1840553168636448,0.0017575396176918723,0.9000000000000004,3.25,260.088,1911.0,-22.8,-0.16999999999999993,50190.0,339193.0,0.0,3.731001905961463
2004-02-01,0.1840553168636448,0.00588671874577984,0.7699999999999996,3.14,278.6556,1846.0,-22.8,-0.16999999999999993,51210.0,341261.0,-0.10000000000000053,0.816711104543586
2004-03-01,-0.5124017075773861,-0.003962014494808264,0.7800000000000002,2.88,282.1227,1998.0,-22.8,-0.16999999999999993,54995.0,354358.0,0.20000000000000018,-1.2408303407018622
2004-04-01,-0.4692183789240832,0.004153534116236424,0.7299999999999995,3.39,289.5122,2003.0,-20.0,-0.050000000000000044,52065.0,349488.0,-0.20000000000000018,0.7617285908132345
2004-05-01,-0.4692183789240832,0.007210699539868193,0.71,3.68,301.4126,1981.0,-20.0,-0.050000000000000044,52405.0,351373.0,0.0,-2.0384771982828767
2004-06-01,-1.5104185556141059,-0.007775301981939653,0.7700000000000005,3.44,286.3553,1828.0,-20.0,-0.050000000000000044,53213.0,354635.0,0.0,2.2383698781331276
2004-07-01,2.9823891820585855,0.007488097374277025,0.7999999999999998,3.14,307.4776,2002.0,-21.1,-0.050000000000000044,53699.0,356710.0,-0.09999999999999964,-1.8201119559151806
2004-08-01,2.9823891820585855,0.000927855501969832,0.8099999999999996,2.78,295.5954,2024.0,-21.1,-0.050000000000000044,51950.0,355629.0,-0.09999999999999964,-1.0709263029552574
2004-09-01,1.4780340705634478,0.0009344539677533792,0.8099999999999996,2.45,337.7328,1905.0,-21.1,-0.050000000000000044,56227.0,361042.0,0.0,2.1728997003464485
2004-10-01,-0.9201238344682948,0.009175073691202629,0.7400000000000002,2.31,355.2492,2072.0,-23.6,-0.07999999999999985,53948.0,364476.0,0.09999999999999964,0.0939280192057339
2004-11-01,-8.018135078532971,0.0024968038379260538,0.6800000000000006,2.08,342.5017,1782.0,-23.6,-0.07999999999999985,55318.0,373177.0,-0.09999999999999964,3.7659269060407325
2004-12-01,1.719531777661463,0.007422302050024365,0.6800000000000006,2.01,310.4673,2042.0,-23.6,-0.07999999999999985,56631.0,373419.0,0.0,2.2523894867339607
2005-01-01,1.719531777661463,0.003896878423868655,0.6599999999999993,1.85,331.4828,2144.0,-24.1,-0.10000000000000009,57884.0,378937.0,-0.10000000000000053,-1.1947808005593004
2005-02-01,0.3288157171295335,0.007320290814054609,0.6200000000000001,1.59,355.8531,2207.0,-24.1,-0.10000000000000009,57580.0,381880.0,0.10000000000000053,1.4329374614514876
2005-03-01,-0.16745863079840032,-0.001523445569097226,0.6599999999999993,1.7,383.6221,1864.0,-24.1,-0.10000000000000009,56576.0,374642.0,-0.20000000000000018,-0.19646964917343723
2005-04-01,-1.529614403292179,0.0019788461041143623,0.7199999999999998,1.5,353.6854,2061.0,-16.7,0.040000000000000036,58138.0,385450.0,0.0,-2.06701917772169
2005-05-01,-1.529614403292179,0.0010158593819362682,0.8599999999999994,1.24,354.8881,2025.0,-16.7,0.040000000000000036,57105.0,395916.0,-0.10000000000000053,1.1247776576450974
2005-06-01,7.964372750643986,0.00403043660312985,0.9000000000000004,0.96,379.7879,2068.0,-16.7,0.040000000000000036,58903.0,400506.0,-0.09999999999999964,1.8743908869755757
2005-07-01,0.07189340384395185,-0.0031894240547285513,0.8900000000000006,0.89,401.999,2054.0,-8.8,0.050000000000000044,57606.0,386590.0,0.0,1.5820275046608572
2005-08-01,1.3537800407331988,0.0035355643146044446,0.8700000000000001,0.74,465.1507,2095.0,-8.8,0.050000000000000044,60352.0,401287.0,-0.09999999999999964,0.2554280488387377
2005-09-01,-5.030667871486211,-0.019269789373377533,0.9000000000000004,0.71,469.5595,2151.0,-8.8,0.050000000000000044,58344.0,404154.0,0.09999999999999964,0.23162555892028536
2005-10-01,-5.030667871486211,0.011888931933116131,0.9500000000000002,0.67,422.8763,2065.0,-10.7,-0.08000000000000007,59751.0,409487.0,0.0,-2.4107720511300244
2005-11-01,-0.5347514170040655,0.010648303835189887,0.9699999999999998,0.57,415.9086,2147.0,-10.7,-0.08000000000000007,60459.0,421486.0,0.0,3.522984095982153
